"","id","especie","ultima_modificacion","altura","circ_tronco_cm","diametro_tronco","long","lat","seccion","nombre_seccion","area_seccion","inclinacion_peligrosa","circ_tronco_cm_cat"
"60",101,"Pltano","29/02/2012 10:27","Medio (4 - 8 mts)",160,"Grande",-68.8564013151,-32.9017206089,5,"Residencial Sur",2423808.92355,0,"Medio"
"61",105,"Pltano","29/02/2012 10:14","Medio (4 - 8 mts)",180,"Grande",-68.8566932262,-32.9017201088,5,"Residencial Sur",2423808.92355,0,"Medio"
"62",106,"Perenne","29/02/2012 10:12","Bajo (2 - 4 mts)",100,"Grande",-68.8567481144,-32.901717693,5,"Residencial Sur",2423808.92355,0,"Bajo"
"63",107,"Pltano","29/02/2012 10:06","Medio (4 - 8 mts)",180,"Grande",-68.8568847571,-32.9017166601,5,"Residencial Sur",2423808.92355,0,"Medio"
"64",108,"Pltano","29/02/2012 10:04","Alto (> 8 mts)",180,"Grande",-68.8569135597,-32.9017174677,5,"Residencial Sur",2423808.92355,0,"Medio"
"65",112,"Morera","29/02/2012 10:51","Bajo (2 - 4 mts)",22,"Mediano",-68.8569770778,-32.8635909097,6,"Residencial Norte",2694682.37982,0,"Bajo"
"66",118,"Acer","29/02/2012 10:41","Medio (4 - 8 mts)",100,"Grande",-68.8565709627,-32.863691184,6,"Residencial Norte",2694682.37982,0,"Bajo"
"67",121,"Morera","29/02/2012 10:33","Bajo (2 - 4 mts)",16,"Chico",-68.8565817275,-32.8638083644,6,"Residencial Norte",2694682.37982,0,"Bajo"
"68",124,"Ailanthus","29/02/2012 10:28","Bajo (2 - 4 mts)",80,"Grande",-68.8567009475,-32.8640296437,6,"Residencial Norte",2694682.37982,0,"Bajo"
"69",126,"Jacarand","29/02/2012 10:26","Bajo (2 - 4 mts)",46,"Mediano",-68.8569444054,-32.8640397021,6,"Residencial Norte",2694682.37982,0,"Bajo"
"70",130,"Liquidambar","29/02/2012 10:19","Bajo (2 - 4 mts)",24,"Mediano",-68.8572705072,-32.8640573664,6,"Residencial Norte",2694682.37982,0,"Bajo"
"71",133,"Paraiso sombrilla","29/02/2012 10:14","Medio (4 - 8 mts)",90,"Grande",-68.8576602822,-32.8640745531,6,"Residencial Norte",2694682.37982,0,"Bajo"
"72",134,"Paraiso sombrilla","29/02/2012 10:12","Medio (4 - 8 mts)",120,"Grande",-68.8577134749,-32.8640769147,6,"Residencial Norte",2694682.37982,0,"Bajo"
"73",135,"Morera","29/02/2012 10:09","Bajo (2 - 4 mts)",36,"Mediano",-68.8578008863,-32.8640816488,6,"Residencial Norte",2694682.37982,0,"Bajo"
"74",136,"Morera","29/02/2012 10:08","Bajo (2 - 4 mts)",24,"Mediano",-68.8578758998,-32.864085761,6,"Residencial Norte",2694682.37982,0,"Bajo"
"75",137,"Morera","29/02/2012 10:06","Medio (4 - 8 mts)",80,"Grande",-68.8579538039,-32.8640881831,6,"Residencial Norte",2694682.37982,0,"Bajo"
"76",138,"Morera","29/02/2012 10:05","Medio (4 - 8 mts)",80,"Grande",-68.858020634,-32.8640911354,6,"Residencial Norte",2694682.37982,0,"Bajo"
"77",139,"Morera","29/02/2012 09:55","Bajo (2 - 4 mts)",14,"Chico",-68.8580617576,-32.8640923606,6,"Residencial Norte",2694682.37982,0,"Bajo"
"78",140,"Fresno europeo","29/02/2012 09:51","Bajo (2 - 4 mts)",36,"Mediano",-68.8581197222,-32.8640958771,6,"Residencial Norte",2694682.37982,0,"Bajo"
"79",143,"Caducifolio","28/02/2012 18:23","Bajo (2 - 4 mts)",44,"Mediano",-68.8583297629,-32.8641070446,6,"Residencial Norte",2694682.37982,0,"Bajo"
"80",145,"Fresno europeo","28/02/2012 18:20","Muy bajo (1 - 2 mts)",4,"Chico",-68.8581808708,-32.8642127881,6,"Residencial Norte",2694682.37982,0,"Bajo"
"81",148,"Paraiso","28/02/2012 18:10","Bajo (2 - 4 mts)",120,"Grande",-68.8579576256,-32.864202141,6,"Residencial Norte",2694682.37982,0,"Bajo"
"82",151,"Paraiso sombrilla","27/02/2012 17:55","Bajo (2 - 4 mts)",42,"Mediano",-68.857754913,-32.8641909605,6,"Residencial Norte",2694682.37982,0,"Bajo"
"83",153,"Jacarand","27/02/2012 17:51","Medio (4 - 8 mts)",56,"Mediano",-68.8576246578,-32.8641856357,6,"Residencial Norte",2694682.37982,0,"Bajo"
"84",154,"Braquiquito","27/02/2012 17:50","Bajo (2 - 4 mts)",50,"Mediano",-68.8575776041,-32.8641832819,6,"Residencial Norte",2694682.37982,0,"Bajo"
"85",159,"Fresno europeo","27/02/2012 17:36","Bajo (2 - 4 mts)",20,"Chico",-68.857346078,-32.8641697479,6,"Residencial Norte",2694682.37982,0,"Bajo"
"86",161,"Paraiso sombrilla","27/02/2012 17:32","Bajo (2 - 4 mts)",100,"Grande",-68.8571537012,-32.8641614654,6,"Residencial Norte",2694682.37982,0,"Bajo"
"87",162,"Paraiso sombrilla","27/02/2012 17:30","Bajo (2 - 4 mts)",80,"Grande",-68.8570880942,-32.8641579352,6,"Residencial Norte",2694682.37982,0,"Bajo"
"88",165,"Paraiso","27/02/2012 17:23","Medio (4 - 8 mts)",60,"Mediano",-68.8568438587,-32.8641461494,6,"Residencial Norte",2694682.37982,0,"Bajo"
"89",168,"Paraiso","26/02/2012 20:01","Bajo (2 - 4 mts)",40,"Mediano",-68.8566239237,-32.8642132741,6,"Residencial Norte",2694682.37982,0,"Bajo"
"90",170,"Paraiso","26/02/2012 19:56","Medio (4 - 8 mts)",60,"Mediano",-68.8566366649,-32.8643478911,6,"Residencial Norte",2694682.37982,0,"Bajo"
"91",172,"Paraiso sombrilla","26/02/2012 19:53","Bajo (2 - 4 mts)",46,"Mediano",-68.8566542225,-32.8645104625,6,"Residencial Norte",2694682.37982,0,"Bajo"
"92",173,"Paraiso sombrilla","26/02/2012 19:50","Bajo (2 - 4 mts)",40,"Mediano",-68.8567490006,-32.8645912485,6,"Residencial Norte",2694682.37982,0,"Bajo"
"93",179,"Braquiquito","26/02/2012 19:40","Medio (4 - 8 mts)",54,"Mediano",-68.8571762698,-32.8646124751,6,"Residencial Norte",2694682.37982,0,"Bajo"
"94",180,"Morera","26/02/2012 19:39","Bajo (2 - 4 mts)",44,"Mediano",-68.8572069582,-32.8646130845,6,"Residencial Norte",2694682.37982,0,"Bajo"
"95",181,"Braquiquito","26/02/2012 19:37","Muy bajo (1 - 2 mts)",16,"Chico",-68.8572437821,-32.8646160029,6,"Residencial Norte",2694682.37982,0,"Bajo"
"96",182,"Morera","24/02/2012 11:33","Bajo (2 - 4 mts)",50,"Mediano",-68.8572935648,-32.8646183608,6,"Residencial Norte",2694682.37982,0,"Bajo"
"97",185,"Aguaribay","24/02/2012 11:27","Medio (4 - 8 mts)",130,"Grande",-68.8575229985,-32.8646301785,6,"Residencial Norte",2694682.37982,0,"Medio"
"98",187,"Morera","24/02/2012 11:24","Bajo (2 - 4 mts)",48,"Mediano",-68.8576696196,-32.8646360973,6,"Residencial Norte",2694682.37982,0,"Bajo"
"99",188,"Paraiso sombrilla","24/02/2012 11:23","Bajo (2 - 4 mts)",100,"Grande",-68.857935699,-32.8646507998,6,"Residencial Norte",2694682.37982,0,"Bajo"
"100",189,"Prunas","24/02/2012 11:17","Bajo (2 - 4 mts)",22,"Mediano",-68.8580176954,-32.8646533329,6,"Residencial Norte",2694682.37982,0,"Bajo"
"101",194,"Acer","24/02/2012 11:06","Bajo (2 - 4 mts)",30,"Mediano",-68.858256053,-32.8646670294,6,"Residencial Norte",2694682.37982,0,"Bajo"
"102",195,"Fresno americano","24/02/2012 11:04","Bajo (2 - 4 mts)",22,"Mediano",-68.8582956045,-32.8646687008,6,"Residencial Norte",2694682.37982,0,"Bajo"
"103",196,"Morera","24/02/2012 10:47","Muy bajo (1 - 2 mts)",22,"Mediano",-68.8583293667,-32.8646707742,6,"Residencial Norte",2694682.37982,0,"Bajo"
"104",198,"Fresno europeo","24/02/2012 10:43","Bajo (2 - 4 mts)",20,"Chico",-68.8584029873,-32.8645344121,6,"Residencial Norte",2694682.37982,0,"Bajo"
"105",199,"Fresno americano","24/02/2012 10:41","Bajo (2 - 4 mts)",28,"Mediano",-68.8584021085,-32.8644803013,6,"Residencial Norte",2694682.37982,0,"Bajo"
"106",200,"Morera","24/02/2012 10:39","Bajo (2 - 4 mts)",26,"Mediano",-68.8583997538,-32.8644385862,6,"Residencial Norte",2694682.37982,0,"Bajo"
"107",204,"Morera","06/03/2012 10:26","Alto (> 8 mts)",130,"Grande",-68.8393721078,-32.8705776557,4,"Cuarta Oeste",1173332.70145,1,"Medio"
"108",205,"Morera","07/03/2012 10:57","Muy bajo (1 - 2 mts)",2,"Chico",-68.8393497818,-32.8705100171,4,"Cuarta Oeste",1173332.70145,0,"Bajo"
"109",208,"Olmo bola","06/03/2012 10:17","Medio (4 - 8 mts)",65,"Grande",-68.8393090184,-32.8703372173,4,"Cuarta Oeste",1173332.70145,0,"Bajo"
"110",211,"Fresno americano","06/03/2012 10:13","Medio (4 - 8 mts)",40,"Mediano",-68.8392752324,-32.8702071153,4,"Cuarta Oeste",1173332.70145,1,"Bajo"
"111",215,"Pltano","06/03/2012 10:03","Alto (> 8 mts)",200,"Grande",-68.8389727497,-32.8699815525,4,"Cuarta Oeste",1173332.70145,0,"Medio"
"112",217,"Fresno europeo","06/03/2012 10:00","Bajo (2 - 4 mts)",18,"Chico",-68.8388182088,-32.8699721589,4,"Cuarta Oeste",1173332.70145,0,"Bajo"
"113",218,"Pltano","06/03/2012 09:58","Alto (> 8 mts)",170,"Grande",-68.8387341999,-32.8699698865,4,"Cuarta Oeste",1173332.70145,1,"Medio"
"114",219,"Pltano","06/03/2012 09:56","Alto (> 8 mts)",180,"Grande",-68.8386777703,-32.8699654865,4,"Cuarta Oeste",1173332.70145,0,"Medio"
"115",220,"Fresno americano","06/03/2012 09:55","Medio (4 - 8 mts)",105,"Grande",-68.8386264688,-32.8699632581,4,"Cuarta Oeste",1173332.70145,0,"Bajo"
"116",223,"Fresno europeo","06/03/2012 09:48","Muy bajo (1 - 2 mts)",16,"Chico",-68.8383855905,-32.8699559094,4,"Cuarta Oeste",1173332.70145,0,"Bajo"
"117",224,"Pltano","06/03/2012 09:46","Alto (> 8 mts)",200,"Grande",-68.8383028656,-32.8699520163,4,"Cuarta Oeste",1173332.70145,0,"Medio"
"118",228,"Pltano","06/03/2012 09:41","Alto (> 8 mts)",180,"Grande",-68.8380639089,-32.8700831815,4,"Cuarta Oeste",1173332.70145,0,"Medio"
"119",230,"Morera","06/03/2012 09:39","Medio (4 - 8 mts)",120,"Grande",-68.8380983294,-32.8702159238,4,"Cuarta Oeste",1173332.70145,1,"Bajo"
"120",231,"Jacarand","06/03/2012 09:36","Bajo (2 - 4 mts)",25,"Mediano",-68.8381161635,-32.8702836173,4,"Cuarta Oeste",1173332.70145,1,"Bajo"
"121",233,"Morera","06/03/2012 09:34","Medio (4 - 8 mts)",70,"Grande",-68.838138476,-32.8703616535,4,"Cuarta Oeste",1173332.70145,1,"Bajo"
"122",235,"Pltano","06/03/2012 09:31","Alto (> 8 mts)",170,"Grande",-68.8381639122,-32.8704812818,4,"Cuarta Oeste",1173332.70145,0,"Medio"
"123",237,"Morera","06/03/2012 09:28","Medio (4 - 8 mts)",35,"Mediano",-68.8383248382,-32.8705394661,4,"Cuarta Oeste",1173332.70145,0,"Bajo"
"124",239,"Olmo bola","06/03/2012 09:26","Medio (4 - 8 mts)",110,"Grande",-68.8385301422,-32.8705570438,4,"Cuarta Oeste",1173332.70145,0,"Bajo"
"125",240,"Pltano","06/03/2012 09:22","Alto (> 8 mts)",190,"Grande",-68.8385866556,-32.8705625296,4,"Cuarta Oeste",1173332.70145,0,"Medio"
"126",242,"Pltano","06/03/2012 09:20","Alto (> 8 mts)",138,"Grande",-68.8387310619,-32.8705730005,4,"Cuarta Oeste",1173332.70145,0,"Medio"
"127",245,"Pltano","06/03/2012 09:16","Alto (> 8 mts)",165,"Grande",-68.8389966337,-32.8705933864,4,"Cuarta Oeste",1173332.70145,0,"Medio"
"128",246,"Pltano","06/03/2012 09:15","Alto (> 8 mts)",168,"Grande",-68.8390639607,-32.8706005035,4,"Cuarta Oeste",1173332.70145,0,"Medio"
"129",247,"Pltano","06/03/2012 09:13","Alto (> 8 mts)",160,"Grande",-68.8391601435,-32.8706087407,4,"Cuarta Oeste",1173332.70145,0,"Medio"
"130",248,"Olmo bola","06/03/2012 09:11","Medio (4 - 8 mts)",90,"Grande",-68.8393277792,-32.8706203274,4,"Cuarta Oeste",1173332.70145,0,"Bajo"
"131",250,"Morera","07/03/2012 11:57","Muy bajo (1 - 2 mts)",4,"Chico",-68.8223482065,-32.8669830912,4,"Cuarta Este Área Fundacional",1822015.85685,0,"Bajo"
"132",253,"Paraiso sombrilla","07/03/2012 11:49","Medio (4 - 8 mts)",150,"Grande",-68.8221276323,-32.8669915711,4,"Cuarta Este Área Fundacional",1822015.85685,0,"Medio"
"133",263,"Fresno europeo","07/03/2012 11:34","Bajo (2 - 4 mts)",14,"Chico",-68.8223245902,-32.8667496333,4,"Cuarta Este Área Fundacional",1822015.85685,0,"Bajo"
"134",265,"Olmo bola","07/03/2012 11:12","Medio (4 - 8 mts)",100,"Grande",-68.8224916781,-32.8667139353,4,"Cuarta Este Área Fundacional",1822015.85685,0,"Bajo"
"135",266,"Morera","07/03/2012 11:10","Medio (4 - 8 mts)",104,"Grande",-68.8225027702,-32.8667822706,4,"Cuarta Este Área Fundacional",1822015.85685,0,"Bajo"
"136",269,"Morera","07/03/2012 09:11","Medio (4 - 8 mts)",150,"Grande",-68.821427173,-32.8672087923,4,"Cuarta Este Área Fundacional",1822015.85685,0,"Medio"
"137",277,"Morera","07/03/2012 08:53","Alto (> 8 mts)",180,"Grande",-68.8214768818,-32.8676252287,4,"Cuarta Este Área Fundacional",1822015.85685,0,"Medio"
"138",278,"Morera","07/03/2012 08:51","Alto (> 8 mts)",160,"Grande",-68.8214852233,-32.8676646961,4,"Cuarta Este Área Fundacional",1822015.85685,0,"Medio"
"139",281,"Morera","07/03/2012 08:47","Alto (> 8 mts)",160,"Grande",-68.8215808436,-32.8677849418,4,"Cuarta Este Área Fundacional",1822015.85685,0,"Medio"
"140",282,"Morera","07/03/2012 08:43","Alto (> 8 mts)",90,"Grande",-68.8216323085,-32.8677826482,4,"Cuarta Este Área Fundacional",1822015.85685,0,"Bajo"
"141",283,"Morera","07/03/2012 08:42","Alto (> 8 mts)",180,"Grande",-68.8217530143,-32.8677780855,4,"Cuarta Este Área Fundacional",1822015.85685,1,"Medio"
"142",284,"Morera","06/03/2012 10:47","Alto (> 8 mts)",110,"Grande",-68.8218138388,-32.8677742263,4,"Cuarta Este Área Fundacional",1822015.85685,0,"Bajo"
"143",291,"Morera","06/03/2012 10:38","Alto (> 8 mts)",115,"Grande",-68.8222434259,-32.8677637637,4,"Cuarta Este Área Fundacional",1822015.85685,0,"Bajo"
"144",292,"Morera","06/03/2012 10:37","Alto (> 8 mts)",160,"Grande",-68.8223463635,-32.8677552293,4,"Cuarta Este Área Fundacional",1822015.85685,0,"Medio"
"145",294,"Morera","05/03/2012 13:34","Alto (> 8 mts)",170,"Grande",-68.8225719873,-32.8677460403,4,"Cuarta Este Área Fundacional",1822015.85685,0,"Medio"
"146",296,"Fresno europeo","05/03/2012 13:32","Bajo (2 - 4 mts)",100,"Grande",-68.8226135503,-32.8676339708,4,"Cuarta Este Área Fundacional",1822015.85685,0,"Bajo"
"147",297,"Fresno europeo","05/03/2012 13:30","Medio (4 - 8 mts)",140,"Grande",-68.8226052434,-32.8675699189,4,"Cuarta Este Área Fundacional",1822015.85685,0,"Medio"
"148",299,"Paraiso sombrilla","05/03/2012 13:26","Bajo (2 - 4 mts)",30,"Mediano",-68.8225905469,-32.8674061891,4,"Cuarta Este Área Fundacional",1822015.85685,0,"Bajo"
"149",306,"Fresno europeo","05/03/2012 13:14","Medio (4 - 8 mts)",105,"Grande",-68.8224011128,-32.8671097264,4,"Cuarta Este Área Fundacional",1822015.85685,0,"Bajo"
"150",308,"Fresno europeo","05/03/2012 13:06","Alto (> 8 mts)",130,"Grande",-68.8222502473,-32.8671150395,4,"Cuarta Este Área Fundacional",1822015.85685,1,"Medio"
"151",310,"Fresno europeo","05/03/2012 13:01","Medio (4 - 8 mts)",100,"Grande",-68.8221491965,-32.8671164738,4,"Cuarta Este Área Fundacional",1822015.85685,0,"Bajo"
"152",311,"Acer","05/03/2012 12:57","Medio (4 - 8 mts)",120,"Grande",-68.8220301975,-32.8671218446,4,"Cuarta Este Área Fundacional",1822015.85685,0,"Bajo"
"153",316,"Morera","05/03/2012 12:42","Medio (4 - 8 mts)",65,"Grande",-68.8216023808,-32.86713706,4,"Cuarta Este Área Fundacional",1822015.85685,0,"Bajo"
"154",317,"lamo criollo","05/03/2012 12:41","Alto (> 8 mts)",280,"Grande",-68.8215088145,-32.8671385045,4,"Cuarta Este Área Fundacional",1822015.85685,0,"Alto"
"155",320,"Morera","07/03/2012 11:02","Medio (4 - 8 mts)",150,"Grande",-68.8201615859,-32.867324059,4,"Cuarta Este Área Fundacional",1822015.85685,0,"Medio"
